p,min1,max1,min2,max2,name1,name2
0.01000391,217,227,22,52,AQI Data PM10,Weather Data humidity
0.01000391,219,227,22,52,AQI Data PM10,Weather Data humidity
0.010036496,221,227,22,52,AQI Data PM10,Weather Data humidity
0.01000391,217,229,22,46,AQI Data PM10,Weather Data humidity
0.01000391,217,229,48,51,AQI Data PM10,Weather Data humidity
0.01000391,219,229,22,46,AQI Data PM10,Weather Data humidity
0.01000391,219,229,48,51,AQI Data PM10,Weather Data humidity
0.010036496,221,229,22,46,AQI Data PM10,Weather Data humidity
0.010036496,221,229,48,51,AQI Data PM10,Weather Data humidity
0.010134254,229,229,22,51,AQI Data PM10,Weather Data humidity
0.01000391,217,231,24,46,AQI Data PM10,Weather Data humidity
0.01000391,219,231,24,46,AQI Data PM10,Weather Data humidity
0.01000391,221,231,24,46,AQI Data PM10,Weather Data humidity
0.01000391,229,231,24,46,AQI Data PM10,Weather Data humidity
0.010036496,231,231,22,51,AQI Data PM10,Weather Data humidity
0.01000391,217,233,24,43,AQI Data PM10,Weather Data humidity
0.01000391,217,233,46,46,AQI Data PM10,Weather Data humidity
0.01000391,219,233,24,43,AQI Data PM10,Weather Data humidity
0.01000391,219,233,46,46,AQI Data PM10,Weather Data humidity
0.01000391,221,233,24,43,AQI Data PM10,Weather Data humidity
0.01000391,221,233,46,46,AQI Data PM10,Weather Data humidity
0.01000391,229,233,24,43,AQI Data PM10,Weather Data humidity
0.01000391,229,233,46,46,AQI Data PM10,Weather Data humidity
0.010036496,231,233,24,43,AQI Data PM10,Weather Data humidity
0.010036496,231,233,46,46,AQI Data PM10,Weather Data humidity
0.010264599,233,233,24,52,AQI Data PM10,Weather Data humidity
0.01000391,217,235,25,43,AQI Data PM10,Weather Data humidity
0.01000391,219,235,25,43,AQI Data PM10,Weather Data humidity
0.01000391,221,235,25,43,AQI Data PM10,Weather Data humidity
0.01000391,229,235,25,43,AQI Data PM10,Weather Data humidity
0.010036496,231,235,25,43,AQI Data PM10,Weather Data humidity
0.010101668,233,235,25,43,AQI Data PM10,Weather Data humidity
